class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,326,,42,42,0,0,0,0,0,0,15218,26086,2040,0,0,0,13700,0,0,0,1600,2724,36528,25372,28380,4762,0,0,0,0,12,40,0,0,0,0,0,0,0,394,42950,0,196,64,110,90,2628,40256,0,0,0,0,26572,12584,3088,468,56,48,18,492,18,0,66598,10,6,24,0,13700,680,15132,12786,,,,,,,,,27440,326.08,66598,66598,64950,136,0,6108,65720,43344,1209600,1698,2,18,0,23370.24,0,18843.84,0,48,0,0,11810,26286,4100,1112,36,0,0,0,0,4,66598,,1158,40,488,808,7864,32048,938,0,0,0,100,56,25642,6336,0,2,0,0,25790,234,238,0,0,0,0,0,0,0,0,842,0,0,0,0,944,140,41920,4184,0,0,0,0,0,137.36,164,20794,9200,1792,424,1080,4510,1218,4326,0,0,0,0
neg,92296,,2130706432,632,0,0,0,0,0,114,443944,3745890,2342888,127078,1378,0,2754374,0,0,0,5358,8418,5820770,4886832,1716294,764736,0,0,0,0,3266,1062,0,0,0,0,0,7490,546372,4930262,1177168,0,6428,1178,1718,53866,3428494,3128494,41114,0,0,0,1785504,2132982,627792,462474,376868,438508,834350,2814,0,0,7544382,0,74,1020,38,2754374,79422,1066578,646680,264200,260640,209040,340000,279660,263780,,,80800,92295.33,7544382,7544382,7523500,39375,229570,15952,266940,6661292,1209600,230182,6,364,0,5675604.48,0,978742.08,0,0,0,0,73542,1433050,3062322,1774230,276130,33100,8296,622,168,178,7544382,,15986,2276,236628,482210,349112,3475964,2020936,77772,408,0,1096,3782,4787568,147624,0,69900,0,34,5744436,8540,558,0,0,0,0,0,0,0,0,50916,106324,35364,0,0,193482,26768,17566240,4145768,0,0,0,0,46844670,4909.92,4946,1039632,1524380,1037676,435756,779424,651234,413262,262458,471344,46126,0,0
neg,215002,,0,,0,0,0,0,0,16,303024,3467322,6351742,2307470,62318,0,6785286,0,334,0,3134,4946,11837632,11308762,766352,437094,0,0,0,0,0,0,0,0,0,0,0,0,335020,12154702,2170,0,6310,708,1236,2220,202934,11245864,1032614,6,0,0,4999334,2347648,1273912,863704,818970,1165752,988474,34098,0,0,12608528,0,350,176,1110,6785286,88170,314568,449044,71580,68840,76180,77980,77240,66960,70960,57560,28160,215001.86,12608528,12608528,12540490,68626,2042542,43224,494400,12491892,1209600,0,,,,11413732.8,0,1064344.32,,,0,0,35784,1534300,4435064,5190392,1175940,109858,10454,100,,0,12608528,,8900,2010,9762,1148402,549520,7031910,3720038,21312,38,0,,,,,,,,,,7554,620,0,0,0,0,0,0,0,0,42256,192208,36696,0,0,321600,38722,18001700,2326144,0,0,0,0,26535350,,,1125292,2157832,1270346,602140,1587386,1822236,1548700,915188,1334314,128458,0,0
neg,30,,30,30,0,0,0,0,0,0,44,7882,58,0,0,0,3162,0,0,0,0,0,8528,6330,4900,1014,0,0,0,0,74,38,0,0,0,0,0,0,7984,0,0,0,56,12,18,16,476,7404,2,0,0,0,6382,1282,204,50,26,20,12,8,0,0,13438,0,4,0,0,3162,200,2600,2286,,,,,,,,,4820,29.1,13438,13438,15894,16,42,1256,13320,7984,1209600,542,0,2,0,4356.48,0,3594.24,0,0,0,0,0,4088,3380,484,32,0,0,0,0,4,13438,,78,8,14,416,400,1348,3986,1668,66,0,58,164,5114,38,0,0,0,18,5232,38,44,0,0,0,0,0,0,0,0,124,30,4,0,0,282,68,660,140,0,0,0,0,0,41.76,28,3904,3354,584,36,60,14,12,20,0,0,0,0
neg,4,,12,12,0,0,0,0,0,0,2898,4072,1046,0,0,0,2280,0,0,0,730,1704,6032,2854,7760,1224,0,0,0,0,26,16,0,0,0,0,0,0,0,0,8016,0,62,14,14,30,1152,6744,0,0,0,0,6762,406,88,194,18,16,16,484,32,0,14552,0,0,0,0,2280,176,4186,3538,,,,,,,,,7520,3.47,14552,14552,15548,31,0,1278,14260,8016,1209600,350,2,10,0,2172.48,1914.24,2866.56,0,14,0,0,2438,4096,846,636,0,0,0,0,0,14,14552,,1054,12,18,22,272,6456,182,0,0,0,12,66,2802,42,0,0,0,0,3020,50,68,0,0,390,2342,0,0,0,0,238,0,0,0,0,74,24,3940,412,0,0,0,0,0,48.5,52,6066,1712,102,38,34,12,26,26,0,0,0,0
neg,1862,,62,60,0,0,0,0,0,0,98,74290,39674,0,0,0,52788,0,0,0,0,0,119988,109902,22704,6946,0,0,0,0,32,20,0,0,0,0,0,3712,86536,8318,15496,0,204,22,42,96,7330,106090,278,0,0,0,45132,50618,11800,5030,984,316,140,42,0,0,142712,10,36,824,0,52788,1340,15324,7342,,,,,,,,,22360,1861.73,142712,142712,145358,395,196,14066,142340,114062,1209600,2918,0,0,0,102070.08,0,11875.2,0,0,0,0,0,32054,79016,2332,562,98,0,0,0,4,142712,,248,34,1142,5816,2358,68664,34086,1692,22,0,120,92,102498,55680,0,212,0,14,103070,90,116,0,0,0,0,0,0,0,0,664,474,172,0,0,2334,536,1700,516,0,0,0,0,848110,161.58,84,12900,13332,8618,4862,34144,40092,114,0,0,0,0,0
neg,44592,,1560,1280,0,0,0,0,0,0,161882,1691922,971960,230556,11380,0,1353276,0,0,0,1516,2704,2693488,2307312,925242,334672,0,0,0,0,812,6876,0,0,0,0,0,37938,2140146,320376,569240,0,1656,496,974,13254,1145248,1894628,11444,0,0,0,1174290,755966,331880,231444,158688,106840,83518,190212,34790,72,3620668,46,34,156,2,1353276,47338,660260,262942,272020,319320,,,,,,,328280,44592.02,3620668,3620668,3616122,16284,1320,116502,1195280,3067700,1209600,87394,0,44,0,2466087.36,0,599672.64,0,0,0,0,10116,680202,1504298,735674,127034,9114,1262,0,166,172,3620668,,3862,446,64554,409432,151488,1799596,618090,20196,36,0,1334,22676,2456580,7022,0,37160,0,28,2493240,2222,364,0,0,0,0,0,0,0,0,23000,41712,8450,0,0,122296,20360,156080,29850,0,0,0,0,4592020,1050.4,1126,637566,485312,261428,125986,271556,297954,486948,493866,7084,0,0,0
neg,115144,0,828,458,366,460,0,0,5752,1387294,3387256,1356854,186478,3788,10,0,2539250,0,0,0,611188,917228,4895758,4613002,1985894,635888,4,0,0,0,918,2254,0,0,0,0,0,0,349774,3934214,2043444,0,14302,8222,10168,12712,19016,2706244,2542540,1000316,13912,0,2501266,1475540,675798,377622,270678,214808,168606,144482,125376,373256,7494504,1498,13158,6634,8,2539250,81166,1251346,731298,252780,279020,332160,337000,363640,349960,,,60240,115144.96,7494504,7494504,7405414,36154,204,11494,219560,6330626,1209600,138286,0,234,0,5716176.96,0,607668.48,300,2358,640,71464,1157030,1221240,2652524,1068894,146362,7950,1256,72,474,910,7494504,0,10520,1236,185188,264998,258476,4964272,613316,29082,344,0,712,4000,5717820,4186534,414,31614,0,0,5808862,4688,926,0,0,0,0,0,0,0,0,60794,5030,1014,7053076,1143868,115028,15746,64940,7132,7332328,1916,0,0,0,3324.72,2922,627252,655356,410094,219056,583322,467814,3246386,117066,1086,0,0,0
neg,68,2,16,12,0,0,0,0,0,3100,15790,17244,13338,0,0,0,18840,0,36,0,3636,10230,48220,39566,28894,3508,0,0,0,0,50,12,0,0,0,0,0,0,0,520,48952,0,1952,44,72,172,722,35464,3806,7240,0,0,44824,2782,644,448,114,496,64,32,68,0,80870,4,8,14,0,18840,894,14394,14104,,,,,,,,,28140,68.65,80870,80870,76578,95,224,7474,80120,49616,1209600,1264,0,22,0,10152,19875.84,18529.92,2,86,0,678,17214,13420,16692,1386,72,10,0,0,0,16,80870,0,1494,56,134,9586,12176,6456,16256,3234,80,0,8,18,10014,102,0,0,0,0,11876,312,190,0,0,60,29040,0,0,0,0,870,0,0,6712,1050,484,106,1440,366,64194,54,0,0,0,691.12,254,40096,7320,682,178,1122,74,0,0,0,0,0,0
neg,41142,,590,558,0,0,0,0,0,0,1176,806638,1673580,212522,2644,0,1223556,0,0,0,0,0,2466714,2179384,327024,221904,0,0,0,0,1278,366,0,0,0,0,0,187870,1435984,550554,522152,0,2690,654,1164,128840,2347850,215356,6,0,0,0,968444,594206,295320,171890,114042,138954,381936,31768,0,0,2794448,0,732,444,28,1223556,36074,179158,147014,134280,145680,,,,,,,40720,41142.39,2794448,2794448,2810880,13830,4876,33038,367180,2696560,1209600,111270,0,126,0,2486449.92,0,206914.56,0,0,0,0,0,60596,1261012,1072128,257538,33578,10566,1142,18,24,2794448,,5196,764,3864,127108,114338,1933828,500014,11444,4,0,754,964,2461266,110708,128,45290,0,0,2511632,2320,194,0,0,0,0,0,0,0,0,18318,49786,8002,0,0,105614,16064,66460,14426,0,0,0,0,1863510,1753.82,1574,231342,538920,535250,262480,456366,293804,147540,85500,136648,8710,0,0
neg,83012,,2130706432,460,0,0,0,0,0,0,154,48006,3078416,2069766,101186,3948,2242680,0,0,0,0,0,4609888,3954456,811478,579262,0,0,0,0,2770,428,0,0,0,0,0,11280,1736802,3462674,90720,0,3472,1030,1474,2192,132672,5157850,2786,0,0,0,1580058,1337918,569402,501806,491978,438442,333126,48746,0,0,5421928,180,548,360,26,2242680,62000,335976,470652,178880,197640,170540,188280,,,,,69060,83011.72,5421928,5421928,5426016,34605,5954,52516,576280,5301476,1209600,162734,2,88,0,4546908.48,0,751344.96,0,1328,0,0,0,5592,916076,3031660,1283318,55108,9218,504,0,6,5421928,,7374,758,197622,399388,226554,2831170,1604428,34028,154,0,596,1424,4563450,129042,0,350,0,68,4601022,3482,898,0,0,0,0,0,0,0,0,33376,46246,24106,0,0,147256,25992,10494520,1111092,0,0,0,0,4853170,1474.72,1598,776956,1053290,555988,260524,528300,429274,410820,343824,892148,50352,0,0
neg,10632,,0,,0,0,0,0,0,6708,61056,399070,248282,44950,0,0,321136,0,0,0,1622,2236,730312,703752,55180,16778,0,0,0,0,0,0,32366,17386,8160,17360,6418,62088,182996,152418,280874,0,1806,256,416,490,153856,603172,52,16,2,0,349838,338118,52306,15544,2750,748,640,122,0,0,787276,18,36,2200,26,321136,4880,17896,37138,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,53780,10631.26,787276,787276,786204,2459,68350,77890,785440,760066,1209600,0,,,,681960.96,2588.16,72726.72,,,0,0,30216,235810,357554,129852,5396,1040,198,0,,6,787276,,1810,130,87890,39446,28948,497722,99350,4764,6,0,,,,,,,,,,556,76,0,0,0,2596,0,0,0,0,2350,1278,416,0,0,11434,2008,2313540,254940,0,6206,0,0,9631800,,,80142,71748,375666,161838,49254,12572,5124,2376,1346,0,0,0
neg,28846,,488,450,0,0,0,0,0,0,420,46180,1378326,514432,38590,2010,877282,0,0,0,0,0,1853826,1678694,262430,146586,0,0,0,0,1812,318,0,0,0,0,0,12918,646304,1227978,92758,0,1968,544,758,194048,1545478,237158,4,0,0,0,620584,464530,243242,168134,110386,79946,116100,177036,0,0,2116462,222,498,514,14,877282,15272,131982,128722,163660,,,,,,,,95940,28845.7,2116462,2116462,2104720,13741,17152,88870,903880,1979958,1209600,58526,2,42,0,1706085.12,0,271619.52,0,0,0,0,0,2796,482762,1170932,311118,10308,1966,76,758,862,2116462,,2830,258,740,82680,122636,1235082,511770,23272,690,0,700,1742,999928,249514,0,56574,0,14,1715482,2490,300,0,0,0,0,0,0,0,0,9246,14278,6226,0,0,29850,4502,19474520,2218436,0,0,0,0,606390,534.74,646,282250,349184,280058,148600,401056,305798,113816,46376,52820,0,0,0
neg,14,0,0,,0,0,0,0,0,0,366,4164,2548,0,0,0,2602,0,300,0,0,0,10994,7798,12802,288,0,0,0,0,0,2,0,0,0,0,0,0,0,3358,3720,0,1418,26,32,38,128,5436,0,0,0,0,6152,58,16,176,60,528,86,2,0,0,23820,0,2,0,0,2602,180,10832,1956,,,,,,,,,12640,13.36,23820,23820,24170,26,0,2212,23620,7114,1209600,0,,,,1715.52,27.84,4247.04,0,30,0,0,164,3990,2580,324,20,0,0,0,,16,23820,0,1214,14,140,10,24,1302,3940,426,8,0,,,,,,,,,,40,92,0,0,0,26,0,0,0,0,206,0,0,112,84,46,8,4880,488,5506,4,0,0,0,289.64,64,5576,1390,20,10,14,18,26,24,0,0,0,0
neg,368,,0,,0,0,0,0,0,0,102,25440,4844,0,0,0,14592,0,94,0,0,0,29412,24948,14436,1596,0,0,0,0,0,0,0,0,0,0,0,0,23404,5868,1114,0,1272,68,174,98,588,28184,2,0,0,0,18172,8502,2768,386,86,462,10,0,0,0,43880,10,52,8,0,14592,366,9526,4892,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,14240,367.17,43880,43880,43348,92,232,4184,43620,30386,1209600,0,,,,21867.84,0,7329.6,,,0,0,0,18170,11428,766,22,0,0,0,,0,43880,,1198,6,252,1894,998,14104,11092,842,0,0,,,,,,,,,,76,38,0,0,0,0,0,0,0,0,266,14,4,0,0,572,106,70060,7364,0,0,0,0,0,,,8940,5098,1394,198,456,14300,0,0,0,0,0,0
neg,40324,,0,,0,0,0,0,0,0,103648,867084,1513452,189440,10252,0,1373320,0,172,0,426,898,2621564,2296512,909170,263922,0,0,0,0,0,0,0,0,0,0,0,26520,1286012,651082,720262,0,4328,2792,6016,13064,159890,2459940,37846,0,0,0,962018,630350,162104,115556,114372,331284,367804,388,0,0,3531780,0,46,274,92,1373320,47594,689682,218708,231260,302560,,,,,,,369520,40323.23,3531780,3531780,3529396,17663,795162,106946,1105860,2683876,1209600,0,,,,2230411.2,0,449860.8,54,460,0,0,8540,257878,690410,1289228,407532,25548,4294,446,,0,3531780,,5992,676,73944,282354,152912,1220936,918276,28464,322,0,,,,,,,,,,1984,82,0,0,0,0,0,0,0,0,24228,50590,7658,0,0,130454,26492,2847340,989484,0,0,0,0,1380740,1289.34,1402,472990,485444,351904,156602,287630,234076,151440,110968,361660,71162,0,0
neg,60938,,980,918,0,0,0,0,0,0,18546,1112206,1821132,721060,45224,2194,1681094,0,0,0,0,0,3322548,2929734,627524,335438,0,0,1658,0,2644,282,0,0,0,0,0,48656,1426626,1793488,451588,0,8952,4528,5820,169580,2163130,1354940,13392,10,4,2,1244626,809966,327510,261744,236638,210098,247670,381278,828,0,3950350,148,94,588,16,1681094,38192,315980,308110,250960,143400,151460,,,,,,76140,60937.5,3950350,3950350,3919066,25767,25938,28106,316080,3720378,1209600,93486,0,88,0,3031635.84,6690.24,679660.8,0,0,0,0,528,297398,1410694,1561968,419794,24204,5560,212,362,368,3950350,,3960,586,107614,399048,184466,1943672,1060614,20104,294,0,1400,750,2877882,137670,0,11896,0,48,3051538,2874,368,0,0,10,6706,0,0,0,0,20986,34104,6910,0,0,86678,18186,553580,111894,0,0,0,0,1353340,1130.94,1230,711272,573788,395442,182846,361826,366280,353580,297122,475198,3006,0,0
neg,43244,,288,272,0,0,0,0,0,0,2292,346434,1665254,879788,25106,2,1360692,0,0,0,0,84,2750710,2527792,300858,179224,0,0,0,0,1226,264,0,0,0,0,0,224278,1294224,1048960,351414,0,28572,630,1844,235820,2306426,345022,562,0,0,0,1031284,594614,361114,242382,179236,209680,257204,43362,0,0,3052092,0,358,4778,48,1360692,30384,176976,123344,85080,155340,,,,,,,55220,43244.62,3052092,3052092,3082836,15021,60388,60102,626960,2918876,1209600,117854,0,74,0,2552730.24,0,336313.92,0,0,0,0,390,27282,549770,1269270,997192,67168,7064,740,242,248,3052092,,30660,490,2640,219996,128104,2114236,418750,4000,0,0,384,648,2374186,599186,0,123382,0,24,2591022,2244,212,0,0,0,0,0,0,0,0,14602,22430,6354,0,0,106130,15848,364820,93820,0,0,0,0,3244640,1114.84,1260,394704,496990,399740,231410,511672,722450,82630,20194,45266,13820,0,0
